GP,Date,,Opponent,GF,GA,,,W,L,OL,Streak,Att.,LOG,Notes
1,2022-10-14,,Montreal Canadiens,3,0,W,,1,0,0,W 1,19515,2:30,
2,2022-10-15,@,New Jersey Devils,5,2,W,,2,0,0,W 2,16514,2:25,
3,2022-10-17,,Los Angeles Kings,4,5,L,OT,2,0,1,L 1,15919,2:35,
4,2022-10-21,@,Chicago Blackhawks,3,4,L,OT,2,0,2,L 2,18753,2:31,
5,2022-10-23,,Anaheim Ducks,5,1,W,,3,0,2,W 1,17932,2:33,
6,2022-10-25,,New Jersey Devils,2,6,L,,3,1,2,L 1,16546,2:27,
7,2022-10-27,@,Boston Bruins,1,5,L,,3,2,2,L 2,17850,2:31,
8,2022-10-29,,Minnesota Wild,2,1,W,,4,2,2,W 1,17364,2:15,
9,2022-10-31,@,Buffalo Sabres,3,8,L,,4,3,2,L 1,9673,2:27,
10,2022-11-03,,Washington Capitals,3,1,W,,5,3,2,W 1,18527,2:25,
11,2022-11-05,,New York Islanders,3,0,W,,6,3,2,W 2,19515,2:22,
12,2022-11-06,@,New York Rangers,3,2,W,OT,7,3,2,W 3,18006,2:33,
13,2022-11-08,,Montreal Canadiens,2,3,L,SO,7,3,3,L 1,17033,2:38,
14,2022-11-10,,New York Rangers,2,8,L,,7,4,3,L 2,18869,2:20,
15,2022-11-12,@,Los Angeles Kings,3,4,L,,7,5,3,L 3,18230,2:26,
16,2022-11-15,@,Anaheim Ducks,2,3,L,OT,7,5,4,L 4,15198,2:34,
17,2022-11-17,@,San Jose Sharks,7,4,W,,8,5,4,W 1,14134,2:19,
18,2022-11-19,@,Columbus Blue Jackets,6,1,W,,9,5,4,W 2,18693,2:25,
19,2022-11-23,,Nashville Predators,3,0,W,,10,5,4,W 3,19515,2:19,
20,2022-11-25,,Arizona Coyotes,4,3,W,SO,11,5,4,W 4,19515,2:41,
21,2022-11-28,,Toronto Maple Leafs,2,4,L,,11,6,4,L 1,18277,2:24,
22,2022-11-30,,Buffalo Sabres,4,5,L,SO,11,6,5,L 2,17117,2:47,
23,2022-12-03,,Vegas Golden Knights,1,4,L,,11,7,5,L 3,19515,2:24,
24,2022-12-04,@,Columbus Blue Jackets,4,2,W,,12,7,5,W 1,16087,2:28,
25,2022-12-06,@,Tampa Bay Lightning,4,2,W,,13,7,5,W 2,19092,2:23,
26,2022-12-08,@,Florida Panthers,1,5,L,,13,8,5,L 1,14961,2:27,
27,2022-12-10,@,Dallas Stars,2,3,L,OT,13,8,6,L 2,18532,2:31,
28,2022-12-13,,Carolina Hurricanes,0,1,L,,13,9,6,L 3,19515,2:27,
29,2022-12-14,@,Minnesota Wild,1,4,L,,13,10,6,L 4,18324,2:23,
30,2022-12-17,,Ottawa Senators,3,6,L,,13,11,6,L 5,19515,2:25,
31,2022-12-19,@,Washington Capitals,3,4,L,OT,13,11,7,L 6,18573,2:33,
32,2022-12-21,,Tampa Bay Lightning,7,4,W,,14,11,7,W 1,19515,2:33,
33,2022-12-28,@,Pittsburgh Penguins,5,4,W,OT,15,11,7,W 2,18387,2:27,
34,2022-12-29,@,Buffalo Sabres,3,6,L,,15,12,7,L 1,19070,2:29,
35,2022-12-31,,Ottawa Senators,4,2,W,,16,12,7,W 1,19515,2:23,
36,2023-01-04,,New Jersey Devils,1,5,L,,16,13,7,L 1,19515,2:27,
37,2023-01-06,,Florida Panthers,2,3,L,,16,14,7,L 2,19515,2:27,
38,2023-01-07,@,Toronto Maple Leafs,1,4,L,,16,15,7,L 3,19101,2:25,
39,2023-01-10,,Winnipeg Jets,7,5,W,,17,15,7,W 1,19075,2:34,
40,2023-01-12,,Toronto Maple Leafs,4,1,W,,18,15,7,W 2,19515,2:23,
41,2023-01-14,,Columbus Blue Jackets,3,4,L,,18,16,7,L 1,19515,2:20,
42,2023-01-16,@,Colorado Avalanche,3,6,L,,18,17,7,L 2,18117,2:26,
43,2023-01-17,@,Arizona Coyotes,3,4,L,SO,18,17,8,L 3,4600,2:36,
44,2023-01-19,@,Vegas Golden Knights,3,2,W,,19,17,8,W 1,17911,2:27,
45,2023-01-21,,Philadelphia Flyers,1,2,L,,19,18,8,L 1,19515,2:31,
46,2023-01-24,,San Jose Sharks,3,2,W,OT,20,18,8,W 1,19515,2:30,
47,2023-01-26,@,Montreal Canadiens,4,3,W,OT,21,18,8,W 2,21105,2:35,
48,2023-01-27,@,New York Islanders,0,2,L,,21,19,8,L 1,17255,2:23,
49,2023-02-07,,Edmonton Oilers,2,5,L,,21,20,8,L 2,19515,2:35,
50,2023-02-09,,Calgary Flames,2,1,W,,22,20,8,W 1,19515,2:20,
51,2023-02-11,,Vancouver Canucks,5,2,W,,23,20,8,W 2,19515,2:24,
52,2023-02-13,@,Vancouver Canucks,6,1,W,,24,20,8,W 3,18465,2:21,
53,2023-02-15,@,Edmonton Oilers,5,4,W,SO,25,20,8,W 4,17627,2:44,
54,2023-02-16,@,Calgary Flames,5,2,W,,26,20,8,W 5,17713,2:25,
55,2023-02-18,@,Seattle Kraken,2,4,L,,26,21,8,L 1,17151,2:30,
56,2023-02-21,@,Washington Capitals,3,1,W,,27,21,8,W 1,18573,2:20,
57,2023-02-23,,New York Rangers,4,1,W,,28,21,8,W 2,19116,2:42,
58,2023-02-25,,Tampa Bay Lightning,0,3,L,,28,22,8,L 1,19515,2:25,
59,2023-02-27,@,Ottawa Senators,2,6,L,,28,23,8,L 2,16214,2:33,
60,2023-02-28,@,Ottawa Senators,1,6,L,,28,24,8,L 3,14071,2:34,
61,2023-03-02,,Seattle Kraken,4,5,L,OT,28,24,9,L 4,19289,2:36,
62,2023-03-04,@,New York Islanders,1,4,L,,28,25,9,L 5,17255,2:15,
63,2023-03-05,@,Philadelphia Flyers,1,3,L,,28,26,9,L 6,17630,2:26,
64,2023-03-08,,Chicago Blackhawks,4,3,W,,29,26,9,W 1,19181,2:30,
65,2023-03-11,@,Boston Bruins,2,3,L,,29,27,9,L 1,17850,2:36,
66,2023-03-12,,Boston Bruins,5,3,W,,30,27,9,W 1,19515,2:36,
67,2023-03-14,@,Nashville Predators,1,2,L,,30,28,9,L 1,17644,2:28,
68,2023-03-18,,Colorado Avalanche,1,5,L,,30,29,9,L 2,19515,2:35,
69,2023-03-20,,Florida Panthers,2,5,L,,30,30,9,L 3,15198,2:22,
70,2023-03-21,@,St. Louis Blues,3,2,W,SO,31,30,9,W 1,18096,2:33,
71,2023-03-23,,St. Louis Blues,3,4,L,,31,31,9,L 1,17036,2:26,
72,2023-03-25,@,Philadelphia Flyers,0,3,L,,31,32,9,L 2,18216,2:23,
73,2023-03-28,,Pittsburgh Penguins,7,4,W,,32,32,9,W 1,19353,2:40,
74,2023-03-30,,Carolina Hurricanes,3,2,W,,33,32,9,W 2,19183,2:27,
75,2023-03-31,@,Winnipeg Jets,2,6,L,,33,33,9,L 1,14389,2:18,
76,2023-04-02,@,Toronto Maple Leafs,5,2,W,,34,33,9,W 1,18675,2:30,
77,2023-04-04,@,Montreal Canadiens,5,0,W,,35,33,9,W 2,21105,2:16,
78,2023-04-06,,Buffalo Sabres,6,7,L,SO,35,33,10,L 1,19367,2:48,
79,2023-04-08,,Pittsburgh Penguins,1,5,L,,35,34,10,L 2,19515,2:20,
80,2023-04-10,,Dallas Stars,1,6,L,,35,35,10,L 3,17861,2:20,
81,2023-04-11,@,Carolina Hurricanes,1,4,L,,35,36,10,L 4,18680,2:20,
82,2023-04-13,@,Tampa Bay Lightning,0,5,L,,35,37,10,L 5,19092,2:22,